ax   ay   az   gx   gy   gz   mx   my   mz
time 8:53:21	mag_center= 610 180 400		radii = 1.000000 1.000000 1.000000		fitacry = 0.000000 0.000000
935 154 -744 -792 -788 113 -197 -915 -2693 
776 -104 -459 -1060 -987 45 -116 -874 -3002 
172 -467 -919 -1371 -1101 -77 75 -637 -3267 
203 -482 -942 -992 -966 -145 318 -359 -3332 
-71 -762 -1009 -600 -661 -167 526 -174 -3274 
-175 -809 -1276 -274 -326 -149 647 -64 -3196 
-125 -746 -963 -9 31 -26 705 -53 -3177 
146 -620 -1139 381 389 68 647 -81 -3241 
758 -197 -1058 805 717 90 526 -215 -3325 
871 -45 -748 1077 918 -45 312 -469 -3370 
876 140 -146 1178 988 -159 86 -712 -3235 
905 224 117 1092 812 -196 -99 -874 -2971 
698 202 546 920 588 -221 -186 -915 -2719 
574 214 743 661 387 -225 -232 -862 -2533 
350 211 807 491 230 -202 -232 -781 -2449 
278 245 879 444 197 -165 -226 -689 -2358 
215 251 976 274 144 -138 -238 -614 -2307 
242 292 933 137 73 -96 -232 -562 -2288 
173 265 961 136 79 -70 -215 -556 -2256 
159 244 985 94 68 -59 -209 -515 -2242 
161 246 950 34 18 -36 -180 -481 -2249 
138 225 970 25 7 -33 -215 -475 -2255 
167 222 989 -5 0 -29 -191 -475 -2262 
156 211 996 -6 15 -23 -186 -469 -2236 
144 188 1010 -2 25 -22 -203 -452 -2223 
174 196 981 -12 9 -12 -186 -458 -2230 
198 204 994 -13 6 -9 -197 -458 -2223 
209 198 990 -18 17 -13 -186 -446 -2242 
261 221 975 -23 20 -12 -180 -446 -2236 
367 259 984 -10 39 -15 -174 -469 -2204 
417 261 913 4 65 -37 -174 -446 -2191 
417 208 877 23 110 -75 -168 -446 -2178 
372 182 812 75 196 -127 -134 -388 -2166 
248 79 728 89 250 -197 -87 -359 -2094 
-65 -241 959 17 278 -270 -18 -301 -2094 
-106 -327 1024 -106 219 -274 46 -278 -2037 
-256 -500 1262 -191 63 -182 115 -261 -2024 
-365 -748 1424 -186 13 -48 133 -296 -1985 
4 -721 1388 -242 -173 188 98 -336 -1966 
470 -393 1018 -531 -573 337 11 -458 -2023 
514 -287 526 -699 -785 294 -122 -643 -2127 
941 -105 19 -712 -899 242 -197 -776 -2346 
667 -276 -523 -904 -1044 203 -209 -909 -2694 
618 -281 -886 -997 -1112 168 -93 -915 -3022 
587 -712 -532 -1178 -1193 87 121 -741 -3287 
21 -753 -1272 -857 -1121 50 457 -463 -3371 
531 -584 -753 -350 -608 2 636 -359 -3358 
-145 -1210 -941 -370 -459 -9 804 -238 -3274 
253 -818 -1064 -21 -92 -86 867 -220 -3255 
320 -762 -1050 178 241 23 833 -232 -3274 
460 -590 -1199 499 656 -33 728 -324 -3319 
476 -632 -839 742 973 -82 538 -475 -3384 
1083 85 -170 952 1269 -119 225 -701 -3319 
916 38 63 1018 1155 -134 -41 -868 -3062 
575 32 708 1151 972 -325 -191 -909 -2702 
278 52 709 1069 777 -280 -226 -816 -2385 
-67 -105 999 724 434 -272 -203 -648 -2237 
0 10 870 346 217 -207 -151 -527 -2179 
81 78 1028 142 69 -110 -139 -458 -2160 
196 148 974 13 11 -66 -145 -429 -2147 
209 176 1066 20 14 -33 -122 -405 -2140 
176 99 1044 -23 -20 -54 -134 -400 -2185 
257 195 953 -20 -60 -28 -116 -400 -2140 
204 146 1033 2 -23 -23 -134 -394 -2160 
230 151 970 -15 -27 -36 -134 -400 -2160 
229 150 981 -1 -27 -17 -134 -400 -2166 
225 142 979 -1 -5 -15 -134 -388 -2166 
275 176 912 -6 -7 -6 -139 -382 -2179 
258 164 1011 -5 17 -2 -134 -377 -2179 
273 159 956 -4 19 -8 -128 -382 -2172 
274 162 996 0 5 -2 -128 -371 -2160 
279 153 995 -10 13 -7 -139 -377 -2173 
355 176 973 -8 13 -8 -134 -394 -2160 
401 207 930 -2 33 -25 -122 -394 -2160 
586 260 709 3 56 -52 -105 -371 -2154 
361 146 910 11 150 -109 -99 -371 -2166 
394 18 887 71 280 -167 -47 -313 -2095 
104 -119 1041 61 262 -205 34 -284 -2063 
-17 -245 1012 -20 196 -230 75 -238 -2037 
-192 -387 1227 -77 135 -198 144 -226 -2025 
-408 -642 1559 -127 40 -94 173 -226 -1986 
-20 -628 1394 -185 -131 89 173 -255 -1992 
333 -344 1390 -350 -425 250 109 -336 -1986 
651 -162 576 -647 -754 184 -29 -475 -2043 
799 34 366 -820 -959 74 -174 -643 -2205 
620 -107 -453 -670 -843 62 -243 -729 -2476 
950 113 -97 -648 -827 94 -243 -782 -2708 
511 -231 -537 -685 -743 67 -180 -770 -2940 
470 -243 -548 -452 -731 46 -70 -695 -3127 
291 -532 -1173 -470 -755 65 63 -648 -3276 
245 -612 -784 -640 -909 79 289 -527 -3366 
104 -793 -1014 -510 -680 31 474 -371 -3353 
182 -809 -1333 -136 -477 -54 636 -296 -3334 
170 -918 -1190 15 -159 -90 728 -272 -3334 
585 -641 -1559 237 209 -84 734 -313 -3334 
655 -626 -1302 474 569 -114 653 -429 -3392 
775 -369 -786 782 1028 -223 433 -567 -3405 
761 -102 -90 1189 1231 -331 121 -810 -3224 
740 119 492 1360 1005 -312 -99 -938 -2895 
401 -53 646 1084 622 -325 -203 -932 -2573 
181 70 774 785 394 -297 -226 -811 -2399 
-7 -12 979 530 292 -194 -220 -683 -2277 
159 153 862 220 122 -132 -209 -608 -2224 
140 164 1061 125 52 -55 -191 -567 -2231 
229 203 1000 33 40 -44 -174 -527 -2199 
240 211 979 7 1 -24 -186 -504 -2212 
192 174 997 17 20 -31 -180 -515 -2212 
183 142 1020 15 23 -30 -191 -504 -2199 
205 144 990 1 13 -31 -174 -486 -2199 
255 142 954 30 26 -31 -174 -475 -2167 
304 154 940 52 48 -40 -168 -475 -2179 
331 120 910 53 83 -68 -151 -452 -2166 
326 67 962 82 117 -96 -134 -434 -2147 
380 63 866 114 150 -123 -99 -388 -2122 
439 -1 967 55 170 -174 -64 -348 -2108 
186 -175 1013 -10 214 -264 -35 -307 -2076 
100 -180 871 66 225 -307 46 -243 -2057 
3 -211 861 42 148 -310 127 -191 -2051 
-154 -326 1172 -164 80 -333 173 -174 -2012 
-251 -426 1072 -249 35 -266 231 -209 -1993 
-323 -693 1264 -267 -18 -142 254 -249 -1967 
82 -601 1265 -99 81 75 271 -290 -1941 
